F1	1418366273
F0	432531456
f1	336764096
f2	6633536
f3	2588352
f4	2848768
f5	3548096
f6	4311424
f7	5142080
f8	5967872
f9	6582080
f10	6951872
f11	7081216
f12	6954688
f13	6553088
f14	5907584
f15	5188224
f16	4396288
f17	3601472
f18	2873408
f19	2225088
f20	1672896
f21	1260480
f22	919680
f23	666560
f24	461440
f25	334208
f26	235392
f27	162688
f28	115584
f29	82752
f30	62784
f31	46592
f32	34112
f33	27904
f34	24832
f35	21952
f36	19584
f37	17728
f38	18048
f39	14848
f40	14912
f41	11392
f42	11584
f43	10048
f44	11904
f45	9600
f46	9600
f47	7808
f48	7552
f49	6720
f50	5504
f51	5824
f52	6080
f53	6080
f54	5376
f55	4672
f56	4096
f57	3328
f58	3712
f59	3456
f60	3072
f61	3072
f62	2560
f63	2368
f64	2048


Time taken = 112.039514 seconds
