F1	28380966541
F0	5188169984
f1	4643280704
f2	193870144
f3	44489632
f4	17819136
f5	9855424
f6	6485952
f7	4686944
f8	3622048
f9	2966816
f10	2531104
f11	2258656
f12	2063808
f13	1924192
f14	1879552
f15	1846592
f16	1838336
f17	1870144
f18	1900448
f19	1949504
f20	2025376
f21	2075136
f22	2123744
f23	2193088
f24	2269440
f25	2334848
f26	2412288
f27	2472160
f28	2534720
f29	2603264
f30	2655424
f31	2714976
f32	2787936
f33	2819776
f34	2880512
f35	2920608
f36	2979008
f37	3016192
f38	3072928
f39	3125376
f40	3194784
f41	3219744
f42	3272032
f43	3339584
f44	3383424
f45	3432544
f46	3490432
f47	3545920
f48	3574976
f49	3654976
f50	3696032
f51	3802880
f52	3859264
f53	3918720
f54	3995872
f55	4072640
f56	4143552
f57	4210912
f58	4277056
f59	4349376
f60	4415616
f61	4490336
f62	4528352
f63	4571392
f64	4589312


fFinal value of th = 5


Time taken = 1713.667274 seconds


Disk read time = 531.835706 seconds
